Data,pm25,pm10,o3,no2,so2,co
2016-08-28,68.0,30.0,27.0,31.0,2.0,5.0
2016-08-29,68.0,34.0,27.0,31.0,2.0,5.0
2016-08-30,68.0,24.0,27.0,31.0,2.0,5.0
2016-08-31,68.0,29.0,27.0,31.0,2.0,5.0
2016-09-01,68.0,37.0,27.0,31.0,2.0,5.0
2016-09-02,68.0,43.0,27.0,31.0,2.0,5.0
2016-09-03,68.0,43.0,27.0,31.0,2.0,5.0
2016-09-04,68.0,26.0,27.0,31.0,2.0,5.0
2016-09-05,68.0,12.0,27.0,31.0,2.0,5.0
2016-09-06,68.0,16.0,27.0,31.0,2.0,5.0
2016-09-07,68.0,31.0,27.0,31.0,2.0,5.0
2016-09-08,68.0,30.0,27.0,31.0,2.0,5.0
2016-09-09,68.0,37.0,27.0,31.0,2.0,5.0
2016-09-10,68.0,41.0,27.0,31.0,2.0,5.0
2016-09-11,68.0,35.0,27.0,31.0,2.0,5.0
2016-09-12,68.0,44.0,27.0,31.0,2.0,5.0
2016-09-13,68.0,46.0,27.0,31.0,2.0,5.0
2016-09-14,68.0,34.0,27.0,31.0,2.0,5.0
2016-09-15,68.0,38.0,27.0,31.0,2.0,5.0
2016-09-16,68.0,47.0,27.0,31.0,2.0,5.0
2016-09-17,68.0,40.0,27.0,31.0,2.0,5.0
2016-09-18,68.0,35.0,27.0,31.0,2.0,5.0
2016-09-19,68.0,26.0,27.0,31.0,2.0,5.0
2016-09-20,68.0,24.0,27.0,31.0,2.0,5.0
2016-09-21,68.0,29.0,27.0,31.0,2.0,5.0
2016-09-22,68.0,33.0,27.0,31.0,2.0,5.0
2016-09-23,68.0,37.0,27.0,31.0,2.0,5.0
2016-09-24,68.0,42.0,27.0,31.0,2.0,5.0
2016-09-25,68.0,30.0,27.0,31.0,2.0,5.0
2016-09-26,68.0,30.0,27.0,31.0,2.0,5.0
2016-09-27,68.0,39.0,27.0,31.0,2.0,5.0
2016-09-28,68.0,44.0,27.0,31.0,2.0,5.0
2016-09-29,68.0,28.0,27.0,31.0,2.0,5.0
2016-09-30,68.0,34.0,27.0,31.0,2.0,5.0
2016-10-01,68.0,40.0,27.0,31.0,2.0,5.0
2016-10-02,68.0,32.0,27.0,31.0,2.0,5.0
2016-10-03,68.0,12.0,27.0,31.0,2.0,5.0
2016-10-04,68.0,13.0,27.0,31.0,2.0,5.0
2016-10-05,68.0,9.0,27.0,31.0,2.0,5.0
2016-10-06,68.0,20.0,27.0,31.0,2.0,5.0
2016-10-07,68.0,35.0,27.0,31.0,2.0,5.0
2016-10-08,68.0,41.0,27.0,31.0,2.0,5.0
2016-10-09,68.0,39.0,27.0,31.0,2.0,5.0
2016-10-10,68.0,31.0,27.0,31.0,2.0,5.0
2016-10-11,68.0,27.0,27.0,31.0,2.0,5.0
2016-10-12,68.0,14.0,27.0,31.0,2.0,5.0
2016-10-13,68.0,20.0,27.0,31.0,2.0,5.0
2016-10-14,68.0,34.0,27.0,31.0,2.0,5.0
2016-10-15,68.0,23.0,27.0,31.0,2.0,5.0
2016-10-16,68.0,25.0,27.0,31.0,2.0,5.0
2016-10-17,68.0,23.0,27.0,31.0,2.0,5.0
2016-10-18,68.0,39.0,27.0,31.0,2.0,5.0
2016-10-19,68.0,42.0,27.0,31.0,2.0,5.0
2016-10-20,68.0,41.0,27.0,31.0,2.0,5.0
2016-10-21,68.0,40.0,27.0,31.0,2.0,5.0
2016-10-22,68.0,46.0,27.0,31.0,2.0,5.0
2016-10-23,68.0,43.0,27.0,31.0,2.0,5.0
2016-10-24,68.0,52.0,27.0,31.0,2.0,5.0
2016-10-25,68.0,44.0,27.0,31.0,2.0,5.0
2016-10-26,68.0,33.0,27.0,31.0,2.0,5.0
2016-10-27,68.0,46.0,27.0,31.0,2.0,5.0
2016-10-28,68.0,54.0,27.0,31.0,2.0,5.0
