Data,Zachmurzenie ogólne [oktanty],Zachmurzenie (max),Zachmurzenie (min),Prędkość wiatru  [m/s],Temperatura powietrza,Temperatura powietrza (max),Temperatura powietrza (min),Wilgotność względna [%],Ciśnienie na pozimie stacji [hPa],Ciśnienie na pozimie morza [hPa],Opad za 6 godzin [mm]
1961-4-10,"4,625",8,0,"4,125","4,5874999999999995","9,3","-2,7","59,625","991,35","1017,675","0,0"
1961-4-11,"5,5",8,2,"2,625","8,7875","14,9","4,5","64,0","985,025","1010,8375","0,0"
1961-4-12,"1,75",6,0,"2,125","7,4624999999999995","13,6","1,7","60,75","991,7125","1017,7125","0,0"
1961-4-13,"0,5",2,0,"2,375","11,4875","20,5","2,1","64,25","990,3125","1015,9625000000001","0,0"
1961-4-14,"0,5",2,0,"1,875","14,4375","23,4","5,4","60,25","988,0749999999999","1013,5","0,0"
1961-4-15,"1,625",5,0,"3,5","16,8875","25,2","8,0","49,0","986,6999999999999","1011,8874999999999","0,0"
1961-4-16,"4,75",6,2,"3,125","15,775","21,2","11,3","56,125","985,9124999999999","1011,125","0,2"
1961-4-17,"5,75",8,0,"2,125","12,499999999999998","16,9","8,3","75,625","987,1249999999999","1012,7","0,0"
1961-4-18,"3,625",8,0,"1,75","12,899999999999999","19,6","6,0","74,875","987,05","1012,6125","0,0"
1961-4-19,"4,875",7,2,"3,5","13,225","17,4","9,6","71,75","988,5375000000001","1014,0499999999998","0,0"
1961-4-2,"7,75",8,7,"3,125","7,325","9,8","4,2","76,625","984,375","1010,2499999999999","8,1"
1961-4-20,"3,25",6,0,"4,5","9,4875","14,1","4,7","60,5","992,7249999999999","1018,6","0,0"
1961-4-21,"0,875",3,0,"5,75","8,5875","14,7","2,6","55,625","994,0625","1020,1250000000001","0,0"
1961-4-22,"0,0",0,0,"3,75","11,125","18,5","2,6","58,875","987,2375","1012,8875","0,0"
1961-4-23,"0,125",1,0,"5,5","12,225","19,0","4,5","55,625","981,9124999999999","1007,2625","0,0"
1961-4-24,"2,25",8,0,"6,75","9,225000000000001","13,8","2,8","67,625","982,9125","1008,5000000000001","0,0"
1961-4-25,"7,75",8,7,"7,0","9,5625","11,5","7,7","72,5","985,95","1011,6750000000001","0,0"
1961-4-26,"6,25",8,2,"5,875","11,625","14,6","7,8","71,625","983,6","1008,9875","0,1"
1961-4-27,"5,625",7,1,"4,125","11,662499999999998","16,3","7,3","68,125","983,75","1009,1874999999999","0,0"
1961-4-28,"4,75",6,2,"1,25","12,125","18,2","5,6","68,625","984,5374999999999","1009,975","0,0"
1961-4-29,"6,0",8,4,"3,625","13,037500000000001","18,7","6,5","65,25","984,4499999999999","1009,725","0,0"
1961-4-3,"6,75",8,6,"3,625","9,3875","13,6","4,5","80,0","981,0124999999999","1006,5999999999999","1,5999999999999999"
1961-4-30,"4,0",7,0,"5,375","12,2375","19,2","5,2","66,75","982,3874999999999","1007,7875","0,0"
1961-4-4,"6,625",8,1,"3,5","9,537500000000001","15,1","3,7","81,5","985,375","1011,1125","0,7"
1961-4-5,"3,875",8,0,"3,625","12,7375","21,8","6,9","71,625","988,075","1013,6249999999998","0,0"
1961-4-6,"1,125",6,0,"1,625","15,487499999999999","24,3","7,3","61,5","988,275","1013,6","0,0"
1961-4-7,"0,25",2,0,"1,875","16,587500000000002","25,2","8,2","62,625","987,8499999999999","1013,0624999999999","0,0"
1961-4-8,"5,625",8,0,"4,75","15,437499999999998","21,4","9,1","70,25","985,9875000000001","1011,2250000000001","1,6"
1961-4-9,"4,125",8,0,"5,5","5,875","9,2","1,1","62,75","993,85","1020,05","0,7"
1961-5-1,"7,75",8,6,"2,5","9,7125","11,3","7,5","83,25","984,5875000000001","1010,25","0,0"
1961-5-10,"7,375",8,6,"5,375","8,575","10,9","7,2","83,875","985,1000000000001","1010,85","2,7"
1961-5-11,"6,375",8,3,"3,125","8,5875","11,0","7,1","78,0","989,0125","1014,95","0,7999999999999999"
1961-5-12,"7,0",8,5,"4,25","6,9125","9,9","3,8","75,125","991,4","1017,4875000000001","0,0"
1961-5-13,"6,875",8,5,"5,125","9,675","14,3","4,6","68,25","989,9875","1015,825","0,0"
1961-5-14,"6,125",8,2,"2,5","9,075000000000001","12,9","5,7","86,125","986,5250000000001","1012,4","13,6"
1961-5-15,"5,375",9,2,"3,5","8,225","10,7","4,9","79,625","987,2874999999999","1013,2749999999999","5,2"
1961-5-16,"5,5",7,2,"3,25","9,049999999999999","12,9","5,1","73,125","988,1750000000001","1014,0625","0,0"
1961-5-17,"6,875",8,5,"2,5","9,15","11,9","5,9","80,875","988,0750000000002","1013,95","3,0"
1961-5-18,"7,125",8,6,"4,0","10,4125","12,5","8,1","71,0","991,0875000000001","1016,8499999999999","0,8"
1961-5-19,"3,625",7,0,"2,75","11,8125","17,0","7,5","67,125","988,9125","1014,5625","0,0"
1961-5-2,"5,375",8,2,"1,75","11,675","16,3","6,9","73,0","987,4250000000001","1013,075","0,0"
1961-5-20,"3,25",6,0,"3,125","12,1125","18,0","4,6","70,375","984,0375","1009,4749999999999","0,0"
1961-5-21,"7,125",8,5,"3,75","12,4","15,6","9,3","80,5","982,0999999999999","1007,3875","0,2"
1961-5-22,"5,625",7,3,"3,375","12,412500000000001","16,3","9,5","78,375","984,525","1009,8375","8,3"
1961-5-23,"3,625",7,1,"2,125","11,825000000000001","17,6","6,2","62,75","987,6875000000001","1013,3375000000001","0,0"
1961-5-24,"4,75",7,0,"2,375","13,012500000000001","18,7","6,2","65,25","989,7624999999999","1015,3","0,0"
1961-5-25,"3,5",7,1,"1,75","14,55","20,4","8,8","74,375","988,9625","1014,3625","0,0"
